,Final T [°C],ΔT [°C],Final C_atm [PgC],ΔC_atm [PgC],Final C_frozen [PgC],ΔC_frozen [PgC]
All Feedbacks,34.037813703380706,34.037813703380706,664.6663596496647,64.66635964966474,-2.4841951135616777e-12,-1000.0000000000025
No Feedbacks,0.0,0.0,683.4792267081257,83.47922670812568,367.87944117699277,-632.1205588230073
No Albedo,0.500435589733342,0.500435589733342,684.1270309800572,84.12703098005716,351.1567969254739,-648.8432030745262
No Temp Decomp,34.059845011533504,34.059845011533504,673.9720269692816,73.97202696928161,-3.957744625076097e-10,-1000.0000000003957
No CO2 Forcing,33.23754369065652,33.23754369065652,664.6725686100418,64.67256861004182,-1.1641263362881195e-12,-1000.0000000000011
No Permafrost Thaw,33.96394636970474,33.96394636970474,680.8136055684128,80.81360556841275,367.87944117141467,-632.1205588285853
Only Albedo,33.237543829392216,33.237543829392216,683.4792265899417,83.47922658994173,367.879441119904,-632.120558880096
Only Temp Decomp,0.0,0.0,683.4792267081257,83.47922670812568,367.87944117699277,-632.1205588230073
Only CO2 Forcing,0.49585533049080494,0.49585533049080494,683.4792264092387,83.47922640923866,367.87944117699357,-632.1205588230064
Only Permafrost Thaw,0.0,0.0,683.4792267081257,83.47922670812568,367.87944117699277,-632.1205588230073
