time,C_atm,C_active,C_deep,T_s,forcing
0.000000000000000000e+00,5.940000000000000000e+02,1.740000000000000000e+02,8.000000000000000000e+02,-2.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000056e-01,5.954147063258093340e+02,1.734972836629364394e+02,7.997865939728321791e+02,-2.045190744660906557e+00,7.000000000000000000e+00
2.000000000000000111e-01,5.968211572010008013e+02,1.729961006644942358e+02,7.995770888105985250e+02,-2.099160351651229384e+00,7.000000000000000000e+00
3.000000000000000444e-01,5.982187628568502760e+02,1.724963719592678331e+02,7.993721704111038662e+02,-2.163654467259076064e+00,7.000000000000000000e+00
4.000000000000000222e-01,5.996068232917720024e+02,1.719980197984095298e+02,7.991726348951611953e+02,-2.240761472409753985e+00,7.000000000000000000e+00
5.000000000000000000e-01,6.009845106912929396e+02,1.715009756257304332e+02,7.989793985291117906e+02,-2.332976342295369321e+00,7.000000000000000000e+00
6.000000000000000888e-01,6.023508504517080837e+02,1.710051930940876161e+02,7.987935039582966965e+02,-2.443272689977429302e+00,7.000000000000000000e+00
7.000000000000000666e-01,6.037047011289878355e+02,1.705106687060332717e+02,7.986161199314249188e+02,-2.575182503602318818e+00,7.000000000000000000e+00
8.000000000000000444e-01,6.050447345496237403e+02,1.700174734063924689e+02,7.984485299507489344e+02,-2.732879307817947634e+00,7.000000000000000000e+00
9.000000000000000222e-01,6.063694178826635834e+02,1.695257992200577917e+02,7.982921039542312656e+02,-2.921256918416067716e+00,7.000000000000000000e+00
1.000000000000000000e+00,6.076770007130376143e+02,1.690360253354834015e+02,7.981482455821721942e+02,-3.145988321886630246e+00,7.000000000000000000e+00
1.100000000000000089e+00,6.089655115023837197e+02,1.685488064414755627e+02,7.980183078202686602e+02,-3.413538999281658715e+00,7.000000000000000000e+00
1.200000000000000178e+00,6.102327699570412278e+02,1.680651823068104420e+02,7.979034714851678700e+02,-3.731092215740662077e+00,7.000000000000000000e+00
1.300000000000000044e+00,6.114764232863824418e+02,1.675866973724419609e+02,7.978045897598238980e+02,-4.106328191036043407e+00,7.000000000000000000e+00
1.400000000000000133e+00,6.126940159280740090e+02,1.671155043525802171e+02,7.977220151490110993e+02,-4.546982933959426987e+00,7.000000000000000000e+00
1.500000000000000000e+00,6.138831007037380232e+02,1.666544060724332894e+02,7.976554465874264679e+02,-5.060123128316913466e+00,7.000000000000000000e+00
1.600000000000000089e+00,6.150413939706460269e+02,1.662067790022049962e+02,7.976038505893859565e+02,-5.651127471831745019e+00,7.000000000000000000e+00
1.700000000000000178e+00,6.161669651319798504e+02,1.657763343925693107e+02,7.975655100902038157e+02,-6.322493313223542799e+00,7.000000000000000000e+00
1.800000000000000044e+00,6.172584338301687694e+02,1.653667257943787376e+02,7.975382188282102334e+02,-7.072761537075849425e+00,7.000000000000000000e+00
1.900000000000000133e+00,6.183151326142670996e+02,1.649810866981890456e+02,7.975195797649499809e+02,-7.895977219408258030e+00,7.000000000000000000e+00
2.000000000000000000e+00,6.193371904096284197e+02,1.646216361498553908e+02,7.975073144743507783e+02,-8.782023500124211068e+00,7.000000000000000000e+00
2.100000000000000089e+00,6.203255104481416993e+02,1.642894732153918937e+02,7.974994891588256678e+02,-9.717838482384639320e+00,7.000000000000000000e+00
2.200000000000000178e+00,6.212816495602015721e+02,1.639845984404946648e+02,7.974946124559161262e+02,-1.068913108814373736e+01,7.000000000000000000e+00
2.300000000000000266e+00,6.222076354535265637e+02,1.637061097800628886e+02,7.974916210989053980e+02,-1.168203702729993232e+01,7.000000000000000000e+00
2.400000000000000355e+00,6.231057694159026141e+02,1.634524767418123758e+02,7.974898023273512990e+02,-1.268429296452488764e+01,7.000000000000000000e+00
2.500000000000000000e+00,6.239784519898704502e+02,1.632218085899871483e+02,7.974886996418184708e+02,-1.368580707444652589e+01,7.000000000000000000e+00
2.600000000000000089e+00,6.248280509684249182e+02,1.630120692621005389e+02,7.974880298328218942e+02,-1.467873388075521213e+01,7.000000000000000000e+00
2.700000000000000178e+00,6.256568141348689096e+02,1.628212270389627179e+02,7.974876207306082279e+02,-1.565725122614278675e+01,7.000000000000000000e+00
2.800000000000000266e+00,6.264668198628907021e+02,1.626473466162367458e+02,7.974873688282968942e+02,-1.661721199943087512e+01,7.000000000000000000e+00
2.900000000000000355e+00,6.272599556359743929e+02,1.624886380461296369e+02,7.974872121850775102e+02,-1.755578200176427828e+01,7.000000000000000000e+00
3.000000000000000000e+00,6.280379148827256586e+02,1.623434770202176765e+02,7.974871136953277073e+02,-1.847111949055021185e+01,7.000000000000000000e+00
3.100000000000000089e+00,6.288022048732045732e+02,1.622104074180473106e+02,7.974870510251965925e+02,-1.936211534424980485e+01,7.000000000000000000e+00
3.200000000000000178e+00,6.295541605336376279e+02,1.620881338151579598e+02,7.974870106491707702e+02,-2.022819185431323774e+01,7.000000000000000000e+00
3.300000000000000266e+00,6.302949607340259490e+02,1.619755090688518067e+02,7.974869843051835687e+02,-2.106915233818133970e+01,7.000000000000000000e+00
3.400000000000000355e+00,6.310256450852082253e+02,1.618715199139841445e+02,7.974869668970632119e+02,-2.188507045895859449e+01,7.000000000000000000e+00
3.500000000000000000e+00,6.317471300916020027e+02,1.617752723103079120e+02,7.974869552564248352e+02,-2.267620993111110295e+01,7.000000000000000000e+00
3.600000000000000089e+00,6.324602240670765241e+02,1.616859775263745576e+02,7.974869473743990511e+02,-2.344296582973505139e+01,7.000000000000000000e+00
3.700000000000000178e+00,6.331656406138001785e+02,1.616029392926911612e+02,7.974869419720498627e+02,-2.418582315513404879e+01,7.000000000000000000e+00
3.800000000000000266e+00,6.338640105688368749e+02,1.615255423080710955e+02,7.974869382246679379e+02,-2.490532664537090923e+01,7.000000000000000000e+00
3.900000000000000355e+00,6.345558925012082909e+02,1.614532420641227475e+02,7.974869355949920191e+02,-2.560205917289278332e+01,7.000000000000000000e+00
4.000000000000000000e+00,6.352417818770945814e+02,1.613855559192447515e+02,7.974869337291792135e+02,-2.627662614451032752e+01,7.000000000000000000e+00
4.100000000000000533e+00,6.359221190310978500e+02,1.613220553115168912e+02,7.974869323907397529e+02,-2.692964423813883457e+01,7.000000000000000000e+00
4.200000000000000178e+00,6.365972960803137539e+02,1.612623589879534904e+02,7.974869314203739350e+02,-2.756173338653586313e+01,7.000000000000000000e+00
4.299999999999999822e+00,6.372676629148525080e+02,1.612061271307226207e+02,7.974869307095457316e+02,-2.817351098590467373e+01,7.000000000000000000e+00
4.400000000000000355e+00,6.379335323875960739e+02,1.611530562633991224e+02,7.974869301835940405e+02,-2.876558777107581122e+01,7.000000000000000000e+00
4.500000000000000000e+00,6.385951848115962548e+02,1.611028748341456946e+02,7.974869297906344627e+02,-2.933856488893896142e+01,7.000000000000000000e+00
4.600000000000000533e+00,6.392528718719138396e+02,1.610553393726134459e+02,7.974869294940498321e+02,-2.989303181734589643e+01,7.000000000000000000e+00
4.700000000000000178e+00,6.399068199787187723e+02,1.610102311944142741e+02,7.974869292682636797e+02,-3.042956506876290490e+01,7.000000000000000000e+00
4.800000000000000711e+00,6.405572332483772016e+02,1.609673534719434826e+02,7.974869290948628304e+02,-3.094872715588050127e+01,7.000000000000000000e+00
4.900000000000000355e+00,6.412042960354916659e+02,1.609265287458740374e+02,7.974869289606467646e+02,-3.145106607849043456e+01,7.000000000000000000e+00
5.000000000000000000e+00,6.418481752103648432e+02,1.608875966871827359e+02,7.974869288558091966e+02,-3.193711492968509802e+01,7.000000000000000000e+00
5.100000000000000533e+00,6.424890220764989408e+02,1.608504122129016309e+02,7.974869287732818748e+02,-3.240739185039559800e+01,7.000000000000000000e+00
5.200000000000000178e+00,6.431269740862379649e+02,1.608148438008272763e+02,7.974869287078287243e+02,-3.286240001435542979e+01,7.000000000000000000e+00
5.300000000000000711e+00,6.437621563601719572e+02,1.607807719970689107e+02,7.974869286555001509e+02,-3.330262772505561486e+01,7.000000000000000000e+00
5.400000000000000355e+00,6.443946829793412689e+02,1.607480881471398675e+02,7.974869286133678088e+02,-3.372854864247602791e+01,7.000000000000000000e+00
5.500000000000000000e+00,6.450246581533640438e+02,1.607166932491504667e+02,7.974869285792077562e+02,-3.414062201556025400e+01,7.000000000000000000e+00
5.600000000000000533e+00,6.456521772497706024e+02,1.606864969434702459e+02,7.974869285513148043e+02,-3.453929296608485089e+01,7.000000000000000000e+00
5.700000000000000178e+00,6.462773277086142798e+02,1.606574166152125827e+02,7.974869285283539284e+02,-3.492499279708093951e+01,7.000000000000000000e+00
5.800000000000000711e+00,6.469001897979559317e+02,1.606293766532550364e+02,7.974869285093160443e+02,-3.529813935619824861e+01,7.000000000000000000e+00
