time,C_atm,C_active,C_deep,T_s,forcing
0.000000000000000000e+00,5.940000000000000000e+02,1.740000000000000000e+02,8.000000000000000000e+02,-2.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000056e-01,5.954159554939885766e+02,1.734972836630794859e+02,7.997865939716825778e+02,-2.045190685178624790e+00,7.025000000000000355e+00
2.000000000000000111e-01,5.968261505576621175e+02,1.729961006667744527e+02,7.995770887917274194e+02,-2.099159853843754586e+00,7.049999999999999822e+00
3.000000000000000444e-01,5.982299904770843568e+02,1.724963719706645406e+02,7.993721703131692493e+02,-2.163652707436575451e+00,7.075000000000000178e+00
4.000000000000000222e-01,5.996267703464577608e+02,1.719980198334550892e+02,7.991726345782395811e+02,-2.240757097139917331e+00,7.099999999999999645e+00
5.000000000000000000e-01,6.010156574924636743e+02,1.715009757073140690e+02,7.989793977382940966e+02,-2.332967367542673642e+00,7.125000000000000000e+00
6.000000000000000888e-01,6.023956725024391972e+02,1.710051932506634955e+02,7.987935022862601500e+02,-2.443256381918301745e+00,7.150000000000000355e+00
7.000000000000000666e-01,6.037656691775836180e+02,1.705106689625667116e+02,7.986161167828652196e+02,-2.575155240173515381e+00,7.174999999999999822e+00
8.000000000000000444e-01,6.051243146474038213e+02,1.700174737644699405e+02,7.984485245139346716e+02,-2.732836421598441312e+00,7.200000000000000178e+00
9.000000000000000222e-01,6.064700714437460647e+02,1.695257996218629444e+02,7.982920951865805819e+02,-2.921192525887408742e+00,7.224999999999999645e+00
1.000000000000000000e+00,6.078011845728955223e+02,1.690360256033480653e+02,7.981482322213596490e+02,-3.145895152593071842e+00,7.250000000000000000e+00
1.100000000000000089e+00,6.091156779702927224e+02,1.685488061862716620e+02,7.980182884324894985e+02,-3.413408250460592264e+00,7.275000000000000355e+00
1.200000000000000178e+00,6.104113668540911704e+02,1.680651807998351899e+02,7.979034445642515720e+02,-3.730913482133102921e+00,7.299999999999999822e+00
1.300000000000000044e+00,6.116858939582479024e+02,1.675866933866701345e+02,7.978045538821702394e+02,-4.106089543739779302e+00,7.325000000000000178e+00
1.400000000000000133e+00,6.129367992181581712e+02,1.671154959970943423e+02,7.977219691749863841e+02,-4.546671253766842113e+00,7.349999999999999645e+00
1.500000000000000000e+00,6.141616308726047464e+02,1.666543906705701943e+02,7.976553898728590184e+02,-5.059724800199180805e+00,7.375000000000000000e+00
1.600000000000000089e+00,6.153581005521065208e+02,1.662067530853005053e+02,7.976037831450344129e+02,-5.650629497687842395e+00,7.400000000000000355e+00
1.700000000000000178e+00,6.165242727308749409e+02,1.657762938724334845e+02,7.975654326211463285e+02,-6.321884743464602607e+00,7.424999999999999822e+00
1.800000000000000044e+00,6.176587618871457153e+02,1.653666663255021092e+02,7.975381326169530212e+02,-7.072034906849117952e+00,7.450000000000000178e+00
1.900000000000000133e+00,6.187608951851673282e+02,1.649810041517899037e+02,7.975194864285483618e+02,-7.895129495569574551e+00,7.474999999999999645e+00
2.000000000000000000e+00,6.198307960133333836e+02,1.646215270578817069e+02,7.975072156834985435e+02,-8.781056118539378730e+00,7.500000000000000000e+00
2.100000000000000089e+00,6.208693620196290794e+02,1.642893350529509178e+02,7.974993864135090007e+02,-9.716756411246683101e+00,7.525000000000000355e+00
2.200000000000000178e+00,6.218781445107355239e+02,1.639844296953892240e+02,7.974945069668100359e+02,-1.068794128025833423e+01,7.549999999999999822e+00
2.300000000000000266e+00,6.228591658078142927e+02,1.637059098466154694e+02,7.974915137673131085e+02,-1.168074681402804060e+01,7.575000000000000178e+00
2.400000000000000355e+00,6.238147219824998047e+02,1.634522457207670243e+02,7.974896937855024817e+02,-1.268290881770590239e+01,7.599999999999999645e+00
2.500000000000000000e+00,6.247472085274869187e+02,1.632215470701987954e+02,7.974885903151366620e+02,-1.368433388879736157e+01,7.625000000000000000e+00
2.600000000000000089e+00,6.256589883259670160e+02,1.630117781305492315e+02,7.974879199998206332e+02,-1.467717471367606485e+01,7.650000000000000355e+00
2.700000000000000178e+00,6.265523043587880920e+02,1.628209073351986262e+02,7.974875105708064211e+02,-1.565560733546275785e+01,7.674999999999999822e+00
2.800000000000000266e+00,6.274292302731192876e+02,1.626469994316302916e+02,7.974872584565565603e+02,-1.661548304149770772e+01,7.700000000000000178e+00
2.900000000000000355e+00,6.282916488768680665e+02,1.624882644591568805e+02,7.974871016747733847e+02,-1.755396628356855970e+01,7.724999999999999645e+00
3.000000000000000000e+00,6.291412489559619416e+02,1.623430780576902066e+02,7.974870030935364866e+02,-1.846921421663597940e+01,7.750000000000000000e+00
3.100000000000000089e+00,6.299795331580305628e+02,1.622099840344785946e+02,7.974869403623441713e+02,-1.936011683790154336e+01,7.775000000000000355e+00
3.200000000000000178e+00,6.308078317990272126e+02,1.620876868838083453e+02,7.974868999450634419e+02,-2.022609573837171837e+01,7.799999999999999822e+00
3.300000000000000266e+00,6.316273191460541057e+02,1.619750393797145307e+02,7.974868735728588263e+02,-2.106695368120576717e+01,7.825000000000000178e+00
3.400000000000000355e+00,6.324390302115800750e+02,1.618710281760929774e+02,7.974868561451551159e+02,-2.188276388892889202e+01,7.849999999999999645e+00
3.500000000000000000e+00,6.332438769049089160e+02,1.617747591560674891e+02,7.974868444907707499e+02,-2.267378972659448166e+01,7.875000000000000000e+00
3.600000000000000089e+00,6.340426629474126230e+02,1.616854435171859450e+02,7.974868365989842687e+02,-2.344042598855757475e+01,7.900000000000000355e+00
3.700000000000000178e+00,6.348360973513902081e+02,1.616023849249018554e+02,7.974868311896132127e+02,-2.418315744762975683e+01,7.924999999999999822e+00
3.800000000000000266e+00,6.356248063669791009e+02,1.615249680187876891e+02,7.974868274371224288e+02,-2.490252865664216486e+01,7.950000000000000178e+00
3.900000000000000355e+00,6.364093439796699840e+02,1.614526482367320455e+02,7.974868248036793830e+02,-2.559912233496440948e+01,7.974999999999999645e+00
4.000000000000000000e+00,6.371902010759852146e+02,1.613849428885116026e+02,7.974868229350614683e+02,-2.627354376288882065e+01,8.000000000000000000e+00
4.100000000000000533e+00,6.379678134152717348e+02,1.613214233682261636e+02,7.974868215945098200e+02,-2.692640951204347388e+01,8.025000000000000355e+00
4.200000000000000178e+00,6.387425685442747181e+02,1.612617083830697027e+02,7.974868206225372660e+02,-2.755833942545676152e+01,8.050000000000000711e+00
4.299999999999999822e+00,6.395148117881225289e+02,1.612054580791022715e+02,7.974868199104741961e+02,-2.816995082299936470e+01,8.074999999999999289e+00
4.400000000000000355e+00,6.402848514405068272e+02,1.611523689470856766e+02,7.974868193835638976e+02,-2.876185437418029522e+01,8.099999999999999645e+00
4.500000000000000000e+00,6.410529632614559432e+02,1.611021694052885778e+02,7.974868189898535320e+02,-2.933465116971494879e+01,8.125000000000000000e+00
4.600000000000000533e+00,6.418193943894616496e+02,1.610546159560926469e+02,7.974868186926761382e+02,-2.988893063909297609e+01,8.150000000000000355e+00
4.700000000000000178e+00,6.425843666951305977e+02,1.610094898899141924e+02,7.974868184664157980e+02,-3.042526925230375667e+01,8.175000000000000711e+00
4.800000000000000711e+00,6.433480797620322846e+02,1.609665943562397956e+02,7.974868182926342115e+02,-3.094422948606111845e+01,8.199999999999999289e+00
4.900000000000000355e+00,6.441107134194253376e+02,1.609257518744380206e+02,7.974868181581094859e+02,-3.144635930844320271e+01,8.224999999999999645e+00
