emission_rate,steady_T,steady_CO2,steady_C_active,steady_C_deep
0.000000000000000000e+00,-4.664395891292522833e+01,5.975931046624638157e+02,1.203004405070762033e+02,7.974957955536049212e+02
1.342281879194630878e-01,-4.662010724129430628e+01,6.034039896850182458e+02,8.996325369834897856e+01,7.974957952536720995e+02
2.684563758389261756e-01,-4.659557213042496926e+01,6.094398109720933689e+02,6.723137755590228437e+01,7.974957949501030043e+02
4.026845637583892357e-01,-4.657060261322321537e+01,6.156441485016594015e+02,5.020887011310848180e+01,7.974957946427680326e+02
5.369127516778523512e-01,-4.654538024035385746e+01,6.219751891623579922e+02,3.747016730042072652e+01,7.974957943315658895e+02
6.711409395973154668e-01,-4.652003904233421849e+01,6.284014435347870631e+02,2.794374676519340994e+01,7.974957940164213142e+02
8.053691275167784713e-01,-4.649467734346244896e+01,6.348992264429261922e+02,2.082456188085792448e+01,7.974957936972728021e+02
9.395973154362415869e-01,-4.646936718136877431e+01,6.414506888821341590e+02,1.550810756771493892e+01,7.974957933740710132e+02
1.073825503355704702e+00,-4.644416062010109414e+01,6.480424444837765350e+02,1.154073920133443210e+01,7.974957930467777487e+02
1.208053691275167818e+00,-4.641909521320803833e+01,6.546643984804428555e+02,8.582248945854541233e+00,7.974957927153616311e+02
1.342281879194630934e+00,-4.639419754466089785e+01,6.613089788253157622e+02,6.377675148644157410e+00,7.974957923797967396e+02
1.476510067114094049e+00,-4.636948605694449554e+01,6.679704995423221590e+02,4.736079041067446482e+00,7.974957920400610192e+02
1.610738255033556943e+00,-4.634497355188078416e+01,6.746446926687285668e+02,3.514571490024226197e+00,7.974957916961357114e+02
1.744966442953020058e+00,-4.632066789722033917e+01,6.813283665709418528e+02,2.606300707413518492e+00,7.974957913480037632e+02
1.879194630872483174e+00,-4.629657411539733403e+01,6.880191128105318512e+02,1.931422327445160736e+00,7.974957909956502817e+02
2.013422818791946511e+00,-4.627269471600465067e+01,6.947151413697317821e+02,1.430317685884876511e+00,7.974957906390626476e+02
2.147651006711409405e+00,-4.624903056174472482e+01,7.014151071357451883e+02,1.058503516224819752e+00,7.974957902782258543e+02
2.281879194630872298e+00,-4.622558099006603527e+01,7.081180174280987103e+02,7.828141002726708431e-01,7.974957899131313752e+02
2.416107382550335636e+00,-4.620234487755316621e+01,7.148231032158023481e+02,5.785402203175726843e-01,7.974957895437656816e+02
2.550335570469798530e+00,-4.617932005983156785e+01,7.215298340916148163e+02,4.272863850965027410e-01,7.974957891701202470e+02
2.684563758389261867e+00,-4.615650435495754067e+01,7.282377640022119749e+02,3.153676759961023812e-01,7.974957887921844986e+02
2.818791946308724761e+00,-4.613389462267093677e+01,7.349465972691056095e+02,2.326108337170865459e-01,7.974957884099475223e+02
2.953020134228188098e+00,-4.611148804664424716e+01,7.416560939167209199e+02,1.714586023830870221e-01,7.974957880233998821e+02
3.087248322147650992e+00,-4.608928170938291657e+01,7.483660940573499829e+02,1.263011524853652201e-01,7.974957876325328243e+02
3.221476510067113885e+00,-4.606727241326082378e+01,7.550764529479870362e+02,9.297712138866379150e-02,7.974957872373365717e+02
3.355704697986577223e+00,-4.604545694037871328e+01,7.617870903396196809e+02,6.840180637683436482e-02,7.974957868378021431e+02
3.489932885906040116e+00,-4.602383215500233860e+01,7.684979269022160224e+02,5.029026065179294930e-02,7.974957864339196476e+02
3.624161073825503454e+00,-4.600239485433630193e+01,7.752089275586344002e+02,3.695108386728090943e-02,7.974957860256810136e+02
3.758389261744966348e+00,-4.598114204546422457e+01,7.819200206548147207e+02,2.713311698386517909e-02,7.974957856130768050e+02
3.892617449664429685e+00,-4.596007056471462704e+01,7.886312076774191837e+02,1.991148972057106212e-02,7.974957851960989501e+02
4.026845637583893023e+00,-4.593917752376364660e+01,7.953424339446995646e+02,1.460299579792870457e-02,7.974957847747389224e+02
4.161073825503355472e+00,-4.591845980167661878e+01,8.020537318913084164e+02,1.070328607896092916e-02,7.974957843489869447e+02
4.295302013422818810e+00,-4.589791494160118646e+01,8.087650459425939289e+02,7.840297451735872211e-03,7.974957839188360822e+02
4.429530201342282147e+00,-4.587753921561987625e+01,8.154763934240788785e+02,5.739736854982398738e-03,7.974957834842755346e+02
4.563758389261744597e+00,-4.585733076083356252e+01,8.221877416221259409e+02,4.199524673796888562e-03,7.974957830452985945e+02
4.697986577181207934e+00,-4.583728648661048766e+01,8.288991216076462933e+02,3.070878961667498214e-03,7.974957826018955984e+02
4.832214765100671272e+00,-4.581740380137475199e+01,8.356105025332132072e+02,2.244331350356060153e-03,7.974957821540585883e+02
4.966442953020134610e+00,-4.579768002790071790e+01,8.423218971490647391e+02,1.639390676946103891e-03,7.974957817017798334e+02
5.100671140939597059e+00,-4.577811313909410984e+01,8.490332822789094962e+02,1.196910189185757586e-03,7.974957812450510346e+02
5.234899328859060397e+00,-4.575870005004568242e+01,8.557446896091790904e+02,8.734561844898426674e-04,7.974957807838625286e+02
5.369127516778523734e+00,-4.573943866769408828e+01,8.624560827582108686e+02,6.371527115897418709e-04,7.974957803182079488e+02
5.503355704697986184e+00,-4.572032651077981313e+01,8.691674989965117675e+02,4.646217094839195537e-04,7.974957798480780866e+02
5.637583892617449521e+00,-4.570136145012358497e+01,8.758788863644474532e+02,3.387276116498077723e-04,7.974957793734655525e+02
5.771812080536912859e+00,-4.568254105932404485e+01,8.825902977337721040e+02,2.469189845085292215e-04,7.974957788943627293e+02
5.906040268456376197e+00,-4.566386338802497846e+01,8.893017135943629228e+02,1.800070698076247546e-04,7.974957784107613179e+02
6.040268456375838646e+00,-4.564532587396592334e+01,8.960131261512556193e+02,1.312694925406274985e-04,7.974957779226527919e+02
6.174496644295301984e+00,-4.562692686154479560e+01,9.027245236105922004e+02,9.579113797579634764e-05,7.974957774300294204e+02
6.308724832214765321e+00,-4.560866408466340260e+01,9.094359370105805738e+02,6.998044097092132217e-05,7.974957769328833592e+02
6.442953020134227771e+00,-4.559053561534518906e+01,9.161473369987240858e+02,5.121457635946834522e-05,7.974957764312068775e+02
6.577181208053691108e+00,-4.557253938064864229e+01,9.228587611785926583e+02,3.757929674252196008e-05,7.974957759249928131e+02
6.711409395973154446e+00,-4.555467362603089043e+01,9.295701674478929135e+02,2.767834655414902345e-05,7.974957754142320709e+02
6.845637583892617783e+00,-4.553693635320667710e+01,9.362815816018320447e+02,2.049387492807919006e-05,7.974957748989181709e+02
6.979865771812080233e+00,-4.551932580562812802e+01,9.429929814251158859e+02,1.528436749925358101e-05,7.974957743790439508e+02
7.114093959731543571e+00,-4.550184014286449496e+01,9.497043840459206194e+02,1.150987519681187762e-05,7.974957738546005430e+02
7.248322147651006908e+00,-4.548447758379690953e+01,9.564157925745056446e+02,8.777488410849308416e-06,7.974957733255823769e+02
7.382550335570470246e+00,-4.546723644889171823e+01,9.631271972153002707e+02,6.801452438948243712e-06,7.974957727919796753e+02
7.516778523489932695e+00,-4.545011509683234152e+01,9.698386213394300057e+02,5.374063069503916527e-06,7.974957722537861855e+02
7.651006711409396033e+00,-4.543311165753076608e+01,9.765500178123462547e+02,4.344433314276199448e-06,7.974957717109945179e+02
7.785234899328859370e+00,-4.541622470481443230e+01,9.832614451811485878e+02,3.603013456681177713e-06,7.974957711635966007e+02
7.919463087248321820e+00,-4.539945270562751745e+01,9.899728398177313693e+02,3.070310696170772330e-06,7.974957706115850442e+02
